SNo,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type,pred_type
0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2,2
1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,6,6
2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1,1
3,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,5,5
4,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1,1
5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,5,5
6,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,5,5
7,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,0,0
8,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,5,5
9,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2,2
10,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,5,5
11,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,5,5
12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4
13,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,4,4
14,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1,1
15,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,5,5
16,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,3,3
17,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,2,2
18,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,5,5
19,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1,1
20,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,3,4
